filename,source_zip,source_csv,compute_source,canonical_kaggle,model,task,write_mode,seq_len,seq_len_int,window,seed,seed_int,batch_size,batch_size_int,steps,d_model,layers,heads,parameters,device,tf_steps,schedule,eval_answer_exact,eval_answer_ce,eval_retrieval_top1,eval_retrieval_topk,eval_true_fact_written_rate,eval_false_write_rate,eval_missed_fact_rate,eval_avg_written_slots,eval_retrieval_margin,train_wall_time_sec,examples_per_sec_recent,eval_examples_per_sec,peak_vram_mb,run_dir,step_log_path
hpm_v2_4096_seed7_tf600_lw03_bs4.csv,long,long/results/raw/hpm_v2_4096_seed7_tf600_lw03_bs4.csv,kaggle,1,hpm_lite_v2,kv,learned,4096,4096,256,7,7,4,4,600,128,1,4,1051272,cuda,600,tf600,1.0,0.0,1.0,1.0,0.99375,0.00625,0.00625,8.0,11.265872192382812,551.0273559890011,4.347379682227845,27.96221223828044,8419.12255859375,runs/memory_model/20260628_152112_hpm_lite_v2_kv_seed7,runs/memory_model/20260628_152112_hpm_lite_v2_kv_seed7/step_log.csv
hpm_v2_4096_seed8_tf600_lw03_bs4.csv,long,long/results/raw/hpm_v2_4096_seed8_tf600_lw03_bs4.csv,kaggle,1,hpm_lite_v2,kv,learned,4096,4096,256,8,8,4,4,600,128,1,4,1051272,cuda,600,tf600,0.975,1.5750438690185546,1.0,1.0,0.990625,0.009375,0.009375,8.0,10.158464050292968,557.385918422,4.304635012661421,26.936174223405917,8419.12255859375,runs/memory_model/20260628_152147_hpm_lite_v2_kv_seed8,runs/memory_model/20260628_152147_hpm_lite_v2_kv_seed8/step_log.csv
hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_4096_seed6_tf600_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,4096,4096,256,6,6,1,1,600,128,1,4,1051272,cuda,600,tf600,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,10.463651371002197,159.08530289999908,3.6581139839830334,25.46233878099912,2135.89208984375,runs\memory_model\20260628_204343_hpm_lite_v2_kv_seed6,runs\memory_model\20260628_204343_hpm_lite_v2_kv_seed6\step_log.csv
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,0,0,2,2,600,128,1,4,1575560,cuda,200,tf200,0.9,0.9625832974904144,1.0,1.0,0.75,0.25,0.25,8.0,10.43789768218994,897.8550628900002,1.3375722448056269,14.737434311221104,8425.40869140625,runs/memory_model/20260628_130856_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_130856_hpm_lite_v2_kv_seed0/step_log.csv
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,1,1,2,2,600,128,1,4,1575560,cuda,200,tf200,0.75,3.932341009378433,1.0,1.0,0.71875,0.28125,0.28125,8.0,10.03121576309204,904.273285288,1.3297721837269576,13.98600220060824,8425.40869140625,runs/memory_model/20260628_130910_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_130910_hpm_lite_v2_kv_seed1/step_log.csv
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,2,2,2,2,600,128,1,4,1575560,cuda,200,tf200,0.85,1.9295237976766573,1.0,1.0,0.8,0.2,0.2,8.0,9.67592749595642,898.3165628610004,1.3375250829608194,14.663391252174524,8425.40869140625,runs/memory_model/20260628_141904_hpm_lite_v2_kv_seed2,runs/memory_model/20260628_141904_hpm_lite_v2_kv_seed2/step_log.csv
hpm_v2_8192_seed3_tf200_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed3_tf200_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,3,3,2,2,600,128,1,4,1575560,cuda,200,tf200,0.65,5.991444563865661,0.9444444444444444,0.9444444444444444,0.76875,0.23125,0.23125,8.0,9.876773145463732,905.333286737,1.3250931527288417,13.867293160649387,8425.40869140625,runs/memory_model/20260628_141919_hpm_lite_v2_kv_seed3,runs/memory_model/20260628_141919_hpm_lite_v2_kv_seed3/step_log.csv
hpm_v2_8192_seed4_tf200_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed4_tf200_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,4,4,2,2,600,128,1,4,1575560,cuda,200,tf200,0.7,6.9429741978644985,1.0,1.0,0.71875,0.28125,0.28125,8.0,10.459762287139892,900.1343215509996,1.3367259110438066,14.752611379647302,8425.40869140625,runs/memory_model/20260628_143405_hpm_lite_v2_kv_seed4,runs/memory_model/20260628_143405_hpm_lite_v2_kv_seed4/step_log.csv
hpm_v2_8192_seed5_tf200_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed5_tf200_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,5,5,2,2,600,128,1,4,1575560,cuda,200,tf200,0.5,5.979784983396513,1.0,1.0,0.65,0.35,0.35,8.0,9.173201036453246,907.1068785390008,1.325257914747353,13.895847128202767,8425.40869140625,runs/memory_model/20260628_143427_hpm_lite_v2_kv_seed5,runs/memory_model/20260628_143427_hpm_lite_v2_kv_seed5/step_log.csv
hpm_v2_8192_seed12_tf200_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_8192_seed12_tf200_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,8192,8192,256,12,12,1,1,600,128,1,4,1575560,cuda,200,tf200,0.5,7.722070217132568,1.0,1.0,0.675,0.325,0.325,8.0,9.50024162020002,454.3409794000036,1.3218782221858336,15.990438996140677,4248.09228515625,runs\memory_model\20260628_212341_hpm_lite_v2_kv_seed12,runs\memory_model\20260628_212341_hpm_lite_v2_kv_seed12\step_log.csv
hpm_v2_8192_seed13_tf200_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_8192_seed13_tf200_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,8192,8192,256,13,13,1,1,600,128,1,4,1575560,cuda,200,tf200,0.7,3.901961708068848,1.0,1.0,0.8125,0.1875,0.1875,8.0,10.59882286616734,454.2137821000069,1.3222569490676217,15.72733086121236,4248.09228515625,runs\memory_model\20260628_213117_hpm_lite_v2_kv_seed13,runs\memory_model\20260628_213117_hpm_lite_v2_kv_seed13\step_log.csv
hpm_v2_8192_seed0_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed0_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,0,0,2,2,600,128,1,4,1575560,cuda,600,tf600,0.9,7.37902946472168,1.0,1.0,0.95625,0.04375,0.04375,8.0,10.506838417053222,899.065893965,1.335070370429089,14.637128070824197,8425.40869140625,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed0/step_log.csv
hpm_v2_8192_seed1_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed1_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,1,1,2,2,600,128,1,4,1575560,cuda,600,tf600,0.95,5.053446960449219,1.0,1.0,0.96875,0.03125,0.03125,8.0,11.028211212158205,905.124646974,1.328345302480851,13.852072110931656,8425.40869140625,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_124443_hpm_lite_v2_kv_seed1/step_log.csv
hpm_v2_8192_seed2_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed2_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,2,2,2,2,600,128,1,4,1575560,cuda,600,tf600,1.0,0.0,1.0,1.0,0.9875,0.0125,0.0125,8.0,10.412484741210935,897.886254264,1.334357797776777,14.57539293254913,8425.40869140625,runs/memory_model/20260628_133307_hpm_lite_v2_kv_seed2,runs/memory_model/20260628_133307_hpm_lite_v2_kv_seed2/step_log.csv
