filename,compute_source,source_zip,seq_len,seed,tf_steps,batch_size,step,eval_exact,eval_ce,eval_ret_top1,writer_recall,loss
hpm_v2_4096_seed3_tf200_lw03_bs4.csv,kaggle,long,4096,3,200,4,500,0.75,5.504,1.0,0.7812,1.7412
hpm_v2_4096_seed3_tf200_lw03_bs4.csv,kaggle,long,4096,3,200,4,550,0.65,6.7718,1.0,0.8125,0.0628
hpm_v2_4096_seed3_tf200_lw03_bs4.csv,kaggle,long,4096,3,200,4,600,0.6,6.6429,1.0,0.75,9.9846
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,50,0.575,29.1359,1.0,0.5938,0.012
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,100,0.625,30.5269,1.0,0.7812,0.0035
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,150,0.85,12.3685,1.0,0.75,0.0021
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,200,0.875,8.4572,1.0,0.9375,0.0011
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,250,0.95,4.3403,1.0,0.9062,0.001
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,300,1.0,0.0,1.0,0.9688,0.0004
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,350,0.975,1.9265,1.0,1.0,0.0001
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,400,1.0,0.0,1.0,0.9688,0.0002
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,450,0.975,1.8702,1.0,0.9688,0.0002
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,500,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,550,1.0,0.0,1.0,1.0,0.0002
hpm_v2_4096_seed0_tf600_lw03_bs4.csv,kaggle,long,4096,0,600,4,600,1.0,0.0,1.0,1.0,0.0
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,50,0.425,33.4949,1.0,0.6562,0.014
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,100,0.85,15.675,1.0,0.8125,0.0042
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,150,0.85,16.7044,1.0,0.8438,0.0025
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,200,0.875,13.7977,1.0,0.9688,0.0011
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,250,0.95,5.6365,1.0,0.8438,0.0011
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,300,0.975,1.773,1.0,0.8438,0.001
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,350,0.975,2.2714,1.0,0.9375,0.0006
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,400,0.975,2.3297,1.0,0.9688,0.0003
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,450,0.975,1.7181,1.0,1.0,0.0003
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,500,0.95,4.2323,1.0,0.9688,0.0002
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,550,1.0,0.0,1.0,0.9688,0.0002
hpm_v2_4096_seed1_tf600_lw03_bs4.csv,kaggle,long,4096,1,600,4,600,0.975,2.5804,1.0,1.0,0.0001
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,50,0.7,22.8277,1.0,0.5938,0.011
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,100,0.825,14.9166,1.0,0.75,0.0037
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,150,0.85,15.0495,1.0,0.8125,0.0023
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,200,1.0,0.0,1.0,0.9688,0.0007
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,250,0.925,7.038,1.0,0.9375,0.0008
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,300,0.95,4.8648,1.0,1.0,0.0003
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,350,0.975,1.498,1.0,1.0,0.0004
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,400,0.975,1.8818,1.0,1.0,0.0001
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,450,1.0,0.0,1.0,1.0,0.0002
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,500,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,550,1.0,0.0,1.0,1.0,0.0002
hpm_v2_4096_seed2_tf600_lw03_bs4.csv,kaggle,long,4096,2,600,4,600,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,50,0.55,15.95,1.0,0.5938,0.0124
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,100,0.75,14.8546,1.0,0.6875,0.0041
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,150,0.7,19.6714,1.0,0.7812,0.0027
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,200,0.875,6.376,1.0,0.7812,0.0017
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,250,0.925,5.5598,1.0,0.875,0.0009
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,300,0.875,10.4351,1.0,0.9062,0.0008
