analysis_set,seq_len,tf_steps,n,seeds,exact_mean,exact_sample_sd,exact_bootstrap_ci_low,exact_bootstrap_ci_high,answer_ce_mean,answer_ce_median,writer_true_fact_mean,missed_fact_mean,false_write_mean,retrieval_top1_mean,peak_vram_mb_mean,train_wall_time_sec_mean,compute_sources,batch_sizes
canonical_kaggle,4096,200,4,"0,1,2,3",0.8,0.14719601443879743,0.6625,0.9125000000000001,3.4037726825378476,3.1447423252042426,0.85390625,0.14609375,0.14609375,1.0,8419.12255859375,553.5974537137502,kaggle,4
canonical_kaggle,4096,600,8,"0,1,2,3,4,5,7,8",0.99375,0.011572751247156903,0.984375,1.0,0.5194345712661743,0.0,0.99140625,0.00859375,0.00859375,1.0,8419.12255859375,551.580656261375,kaggle,4
canonical_kaggle,8192,200,6,"0,1,2,3,4,5",0.725,0.14404860290887933,0.6166666666666667,0.8250000000000001,4.2897753082786965,4.956062996387473,0.734375,0.265625,0.265625,0.9907407407407408,8425.40869140625,902.1698996443334,kaggle,2
canonical_kaggle,8192,600,8,"0,1,2,3,4,5,6,7",0.9750000000000001,0.03779644730092273,0.95,0.99375,2.0288985818624434,3.5762761285695896e-08,0.9765625,0.0234375,0.0234375,1.0,8425.40869140625,901.6354615001251,kaggle,2
canonical_kaggle,12288,200,2,"0,1",0.6499999999999999,0.07071067811865474,0.6,0.7,4.829245579242706,4.829245579242706,0.7437499999999999,0.25625,0.25625,1.0,6361.78271484375,961.6819528230008,kaggle,1
canonical_kaggle,12288,600,2,"0,1",0.95,0.07071067811865474,0.9,1.0,2.215570068359375,2.215570068359375,0.9437500000000001,0.056249999999999994,0.056249999999999994,1.0,6361.78271484375,959.1786600089999,kaggle,1
