run_id,model,task,write_mode,seq_len,window,seed,batch_size,steps,d_model,layers,heads,parameters,device,eval_answer_exact,eval_answer_ce,eval_retrieval_top1,eval_retrieval_topk,eval_true_fact_written_rate,eval_false_write_rate,eval_missed_fact_rate,eval_avg_written_slots,eval_retrieval_margin,train_wall_time_sec,examples_per_sec_recent,eval_examples_per_sec,peak_vram_mb,run_dir,step_log_path
20260628_054304_hpm_lite_kv_seed1,hpm_lite,kv,learned,2048,256,0,8,600,,,,721671,cuda,1.0,3.725234819285106e-07,1.0,1.0,0.996875,0.003125,0.003125,8.0,11.086577129364013,4735.992962899996,1.0137868554519316,63.19020987751088,8393.52880859375,runs\memory_model\20260628_054304_hpm_lite_kv_seed1,runs\memory_model\20260628_054304_hpm_lite_kv_seed1\step_log.csv
20260628_070500_hpm_lite_kv_seed2,hpm_lite,kv,learned,2048,256,1,8,600,,,,721671,cuda,0.975,0.2736601933656345,1.0,1.0,0.98125,0.01875,0.01875,8.0,10.904717922210693,4683.7597991000075,0.9659332279682933,58.7407912793232,8393.52880859375,runs\memory_model\20260628_070500_hpm_lite_kv_seed2,runs\memory_model\20260628_070500_hpm_lite_kv_seed2\step_log.csv
20260628_082740_hpm_lite_kv_seed3,hpm_lite,kv,learned,2048,256,2,8,600,,,,721671,cuda,0.975,1.2091455289252664,1.0,1.0,0.984375,0.015625,0.015625,8.0,10.947114753723145,4954.442272,0.961228076486801,61.16981459292326,8393.52880859375,runs\memory_model\20260628_082740_hpm_lite_kv_seed3,runs\memory_model\20260628_082740_hpm_lite_kv_seed3\step_log.csv
