run_id,model,task,write_mode,seq_len,window,seed,batch_size,steps,d_model,layers,heads,parameters,device,eval_answer_exact,eval_answer_ce,eval_retrieval_top1,eval_retrieval_topk,eval_true_fact_written_rate,eval_false_write_rate,eval_missed_fact_rate,eval_avg_written_slots,eval_retrieval_margin,train_wall_time_sec,examples_per_sec_recent,eval_examples_per_sec,peak_vram_mb,run_dir,step_log_path
20260628_050029_hpm_lite_kv_seed1,hpm_lite,kv,learned,512,256,0,16,600,,,,721543,cuda,1.0,0.0,1.0,1.0,0.9953125,0.0046875,0.0046875,8.0,11.39170570373535,201.32231519999914,33.82944253089966,88.03811301954262,4251.98095703125,runs\memory_model\20260628_050029_hpm_lite_kv_seed1,runs\memory_model\20260628_050029_hpm_lite_kv_seed1\step_log.csv
20260628_050428_hpm_lite_kv_seed2,hpm_lite,kv,learned,512,256,1,16,600,,,,721543,cuda,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,11.267539405822754,161.26598519999243,63.05390838828226,129.2640368222526,4251.98095703125,runs\memory_model\20260628_050428_hpm_lite_kv_seed2,runs\memory_model\20260628_050428_hpm_lite_kv_seed2\step_log.csv
20260628_051622_hpm_lite_kv_seed3,hpm_lite,kv,learned,512,256,2,16,600,,,,721543,cuda,1.0,7.450580152834618e-10,1.0,1.0,1.0,0.0,0.0,8.0,11.558070659637451,151.7562009000103,63.03801219711106,130.59867329703462,4251.98095703125,runs\memory_model\20260628_051622_hpm_lite_kv_seed3,runs\memory_model\20260628_051622_hpm_lite_kv_seed3\step_log.csv
