analysis_set,seq_len,n_tf200,n_tf600,exact_gap_tf600_minus_tf200,writer_gap_tf600_minus_tf200,retrieval_gap_tf600_minus_tf200,ce_gap_tf600_minus_tf200
canonical_kaggle,4096,4,8,0.19374999999999998,0.13750000000000007,0.0,-2.8843381112716733
canonical_kaggle,8192,6,8,0.2500000000000001,0.2421875,0.00925925925925919,-2.260876726416253
canonical_kaggle,12288,2,2,0.30000000000000004,0.20000000000000018,0.0,-2.6136755108833305
all_workers,4096,4,9,0.1944444444444443,0.13845486111111116,0.0,-2.9420530636345816
all_workers,8192,8,11,0.2789772727272728,0.2405539772727272,0.00694444444444442,-2.408495789453559
all_workers,12288,3,3,0.2333333333333334,0.22916666666666674,0.0,-2.046715458234151
