model,eval_answer_exact,eval_answer_ce,eval_retrieval_top1,eval_retrieval_topk,parameters,train_wall_time_sec,run_dir
local,0.0,13.706297492980957,,,784386,1837.2026067999977,runs\memory_model\20260627_172636_local_kv_seed0
hpm_lite,1.0,0.0,1.0,1.0,966918,1749.3044995000018,runs\memory_model\20260627_175714_hpm_lite_kv_seed1
