analysis_scope,seq_len,n_tf600,n_tf200,mean_exact_tf600,mean_exact_tf200,mean_gap_exact_tf600_minus_tf200,bootstrap_ci95_low_gap,bootstrap_ci95_high_gap,permutation_p_value,cliffs_delta,paired_seed_count,paired_mean_gap,paired_min_gap,paired_max_gap,claim_status
all_workers,4096,9,4,0.9944444444444444,0.8,0.1944444444444443,0.08194444444444426,0.33472222222222225,0.002797202797202797,1.0,4,0.19375,0.050000000000000044,0.4,exploratory/low-n or mixed workers
all_workers,8192,11,8,0.9727272727272728,0.69375,0.2789772727272728,0.18238636363636362,0.3772727272727273,0.0002,0.9772727272727273,8,0.28125,0.0,0.5,exploratory/low-n or mixed workers
all_workers,12288,3,3,0.9666666666666667,0.7333333333333333,0.2333333333333334,0.06666666666666665,0.3666666666666667,0.2,0.8888888888888888,3,0.23333333333333336,0.09999999999999998,0.30000000000000004,exploratory/low-n or mixed workers
canonical_kaggle,4096,8,4,0.99375,0.8,0.19374999999999998,0.07812500000000022,0.334375,0.00404040404040404,1.0,4,0.19375,0.050000000000000044,0.4,claim-safe
canonical_kaggle,8192,8,6,0.9750000000000001,0.725,0.2500000000000001,0.14583333333333337,0.36250000000000004,0.001332001332001332,0.9791666666666666,6,0.24166666666666667,0.0,0.5,claim-safe
canonical_kaggle,12288,2,2,0.95,0.6499999999999999,0.30000000000000004,0.20000000000000007,0.4,0.3333333333333333,1.0,2,0.30000000000000004,0.30000000000000004,0.30000000000000004,exploratory/low-n or mixed workers
