model,eval_answer_exact,eval_answer_ce,eval_retrieval_top1,eval_retrieval_topk,eval_avg_written_slots,eval_true_fact_written_rate,eval_false_write_rate,eval_missed_fact_rate,parameters,train_wall_time_sec,run_dir
local,0.0125,8.146561002731323,,,8.0,1.0,0.0,0.0,522114,66.59282650000387,runs\memory_model\20260627_200432_local_kv_seed0
hpm_lite,0.9625,1.4476185496506517,1.0,1.0,8.0,0.96015625,0.03984375,0.03984375,721543,103.25560530000075,runs\memory_model\20260627_200539_hpm_lite_kv_seed1
